Task Name;Parent Task;Description;Status;Priority;Start Date;Due Date
Renforcement Partie IV (resilience et async);;Mesures Partie IV du Dossier de Conception non encore branchees: jobs planifies, outbox/SAP, idempotence, event sourcing, reconciliation, transfert FX;To Do;High;06/19/2026;07/31/2026
Infra jobs planifies (@nestjs/schedule ou BullMQ+Redis);Renforcement Partie IV (resilience et async);Mettre en place l ordonnanceur de taches (Cron NestJS pour le simple, ou BullMQ+Redis pour le robuste avec retry). Prerequis des taches 20h, recurrence et snapshot;To Do;Urgent;06/19/2026;06/24/2026
Cloture automatique des caisses a 20h00;Renforcement Partie IV (resilience et async);Job quotidien 20h: cloturer les sessions ouvertes, calculer solde_cloture, type_cloture=AUTO_20H, et declencher l envoi du journal du jour vers SAP via Outbox;To Do;High;06/24/2026;06/30/2026
Renouvellement automatique des bons recurrents;Renforcement Partie IV (resilience et async);Job qui lit aud_planification_recurrence et recree les bons recurrents arrives a echeance (prochain_renouvellement), avec tracabilite bon_parent_id;To Do;Normal;06/30/2026;07/04/2026
Snapshot de reconciliation quotidien;Renforcement Partie IV (resilience et async);Job avant cloture: calculer solde_calcule_ecritures (SUM ledger) vs solde table vs solde SAP, stocker aud_snapshot_journalier, alerter si ecart non nul;To Do;Normal;07/04/2026;07/09/2026
Idempotency keys: interceptor anti-rejeu;Renforcement Partie IV (resilience et async);Brancher un interceptor NestJS sur les endpoints sensibles (decaissement, recharge, transfert): lire header Idempotency-Key, stocker hash requete + reponse cachee dans aud_idempotency_key, rejouer si meme cle;To Do;Urgent;06/19/2026;06/23/2026
Pattern Outbox + worker d envoi;Renforcement Partie IV (resilience et async);Ecrire un message aud_outbox dans la meme transaction metier; worker separe qui depile avec retry exponentiel et met a jour statut/nb_tentatives/derniere_erreur;To Do;High;06/24/2026;07/02/2026
Integration SAP reelle (client + payloads);Renforcement Partie IV (resilience et async);Client HTTP SAP, construction du payload de cloture (operations du jour sur portefeuilles), gestion des reponses, logs dans aud_log_sap;To Do;High;07/02/2026;07/11/2026
Event sourcing actif sur les bons;Renforcement Partie IV (resilience et async);Ecrire reellement dans aud_evenement_bon a chaque transition (CREE, MODIFIE, VALIDE, SIGNE, IMPRIME, DECAISSE, ANNULE, REFUSE) avec acteur_id, acteur_interim_id, payload, ip;To Do;Normal;06/23/2026;06/27/2026
Journal d audit append-only;Renforcement Partie IV (resilience et async);Empecher UPDATE/DELETE sur aud_journal (trigger SQL Server ou compte applicatif INSERT-only); export periodique vers stockage immuable;To Do;Normal;06/27/2026;06/30/2026
Transfert FX cross-devise (gain/perte, saga);Renforcement Partie IV (resilience et async);En attente decision metier. Implementer transfert entre devises differentes: taux historise, ecriture GAIN_CHANGE/PERTE_CHANGE, statut saga INITIE->...->TERMINE avec compensation;To Do;Low;07/14/2026;07/25/2026
Generation client API Orval depuis OpenAPI;Renforcement Partie IV (resilience et async);Remplacer frontend/src/types/api.ts ecrit a la main par un client genere via Orval depuis le Swagger backend (zero divergence de types);To Do;Low;07/09/2026;07/14/2026
